scope_type:  CONSTRUCTION
scope_id:    con_2e2dcdf2591b0819

resource_code     determinant  name                                                                                                                                                                                                                                                     unit      estimate_price  total_consumption  estimate_amount       estimates_count
С291-0501-016     37           Краны башенные, грузоподъемность 5 т                                                                                                                                                                                                                     маш.-ч    985.2100        99.462122          97991.0772156200      1
С1145-1103-0001   19           Смеси сухие шпатлевочные на основе высокопрочного гипса с полимерными добавками, крупность заполнителя не более 0,15 мм, прочность на изгиб 2,7 МПа                                                                                                      кг        218.1900        44.500000          9709.4550000000       1
С401-100-38       50           Средний разряд работы 3,8                                                                                                                                                                                                                                чел.-ч    1361.3800       7111.474027        9681418.5108772600    3
С1017-2007-0002   19           Шпагат из пенькового волокна, диаметр 1,7 мм                                                                                                                                                                                                             кг        474.3500        2.040000           967.6740000000        1
С1017-1507-0152   19           Дюбели пластмассовые с шурупами, диаметр 6 мм, длина 35 мм, диаметр шурупа 3,5 мм, длина шурупа 50 мм                                                                                                                                                    100 шт    105.4700        91.616398          9662.7814970600       2
С1017-0729-0111   19           Пакля смоляная пропитанная                                                                                                                                                                                                                               кг        394.6800        243.480000         96096.6864000000      1
С1243-0101-0005   23           Трубка полихлорвиниловая электромонтажная, толщина стенки 0,6 мм                                                                                                                                                                                         кг        374.7300        0.258000           96.6803400000         1
С1145-0107-0134   19           Герметик однокомпонентный на силиконовой основе, нейтральный, универсальный                                                                                                                                                                              л         505.7200        18.945000          9580.8654000000       1
С1193-0104-1012   19           Заслонка регулирующая для прямоугольных каналов, ширина 600 мм, высота 350 мм                                                                                                                                                                            шт        4748.1000       2.000000           9496.2000000000       1
С1032-0101-0001   19           Портландцемент бездобавочный общестроительный ЦЕМ 0 32,5Н                                                                                                                                                                                                т         42568.7500      222.561484         9474164.1720250000    3
С291-1801-007     37           Компрессоры винтовые передвижные с двигателем внутреннего сгорания, давление до 0,7 МПа (7 атм), производительность до 5,4 м3/мин                                                                                                                        маш.-ч    728.3100        12.986640          9458.2997784000       1
С1192-0105-0026   19           Вставка гибкая из брезента и сортовой стали, марка ВГ-60-35                                                                                                                                                                                              шт        2364.5100       4.000000           9458.0400000000       1
С1181-1010-0046   32           Смеситель для мойки и умывальника, двухрукояточный, центральный, набортный, излив с развальцованным носиком, с аэратором, вынос излива 110-120 мм, диаметр излива 16 мм                                                                                  компл     942.9200        1.000000           942.9200000000        1
С1145-0105-0013   19           Герметик пенополиуретановый (пена монтажная) противопожарный для мест с повышенными требованиями пожарной безопасности, объем 880 мл                                                                                                                     шт        552.9100        1.701000           940.4999100000        1
С1017-1507-0082   19           Дюбель-гвозди полипропиленовые анкерные с бортом, диаметр 6 мм, длина 40 мм                                                                                                                                                                              100 шт    258.3800        0.364000           94.0503200000         1
С1083-0901-0102   20           Профнастил оцинкованный Н75-750-0,8                                                                                                                                                                                                                      м2        1481.5400       631.438200         935500.9508280000     1
С1017-0712-0024   19           Пленка полиэтиленовая, толщина 0,15 мм                                                                                                                                                                                                                   м2        24.6600         37683.366560       929271.8193696000     2
С291-0606-046     37           Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 25 м                                                                                                                                                                                 маш.-ч    678.2100        13.603200          9225.8262720000       1
С291-1101-012     37           Машины монтажные для выполнения работ при прокладке и монтаже кабеля на базе автомобиля                                                                                                                                                                  маш.-ч    904.7600        1.020000           922.8552000000        1
С401-100-32       50           Средний разряд работы 3,2                                                                                                                                                                                                                                чел.-ч    1549.8600       59350.015560       91984215.1158216000   5
С1084-0102-0013   20           Детали закладные и накладные изготовленные с применением сварки, гнутья, сверления (пробивки) отверстий (при наличии одной из этих операций или всего перечня в любых сочетаниях), поставляемые отдельно                                                 т         187875.0000     0.485400           91194.5250000000      1
С291-0506-007     37           Краны на гусеничном ходу, грузоподъемность 25 т                                                                                                                                                                                                          маш.-ч    1152.4200       786.543416         906428.3634667200     2
С291-0809-024     37           Трамбовки пневматические при работе от стационарного компрессора                                                                                                                                                                                         маш.-ч    34.1500         26.506460          905.1956090000        2
С1182-0612-1036   23           Крышка сиденья пластмассовая к унитазу с крышкой, присоединительный размер 160 мм, с креплением, размеры 450х370 мм                                                                                                                                      шт        904.5000        10.000000          9045.0000000000       1
С291-1503-014     37           Тракторы на пневмоколесном ходу, мощность 59 кВт (80 л.с.)                                                                                                                                                                                               маш.-ч    1333.9500       67.694765          90301.4317717500      1
С1017-2004-0003   19           Нить мешкозашивочная прошивочная полиэфирная из штапельного лавсана (суровая)                                                                                                                                                                            кг        783.2000        0.012000           9.3984000000          1
С1084-0303-0033   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 14 мм                                                                                                                                                                        т         89947.0000      0.998700           89830.0689000000      1
С1243-0515-0101   23           Тройник полипропиленовый для систем водоотведения, диаметр 50 мм                                                                                                                                                                                         шт        89.9100         1.000000           89.9100000000         1
С1145-0501-0012   19           Олифа комбинированная для разведения масляных густотертых красок и для внешних работ по деревянным поверхностям                                                                                                                                          т         84511.6300      0.001060           89.5823278000         1
С291-0708-025     37           Растворосмесители передвижные, объем барабана 250 л                                                                                                                                                                                                      маш.-ч    681.2000        12942.301815       8816295.9963780000    1
С1084-0303-0034   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 16-18 мм                                                                                                                                                                     т         84250.8400      1.045000           88042.1278000000      1
С1144-0204-0182   19           Краска масляная МА-15, цветная                                                                                                                                                                                                                           кг        128.9700        68.202000          8796.0119400000       1
С1182-0612-1036   23           Крышка сиденья пластмассовая к унитазу с крышкой, присоединительный размер 160 мм, с креплением, размеры 450х370 мм                                                                                                                                      шт        877.5000        10.000000          8775.0000000000       1
С1111-0301-0064   19           Бруски обрезные хвойных пород (ель, сосна), естественной влажности, длина 2-6,5 м, ширина 20-90 мм, толщина 20-90 мм, сорт IV                                                                                                                            м3        34200.0000      2.541169           86907.9798000000      1
С1243-0516-0131   23           Угольник 90° из сополимера полипропилена PP-R, наружный диаметр 20 мм                                                                                                                                                                                    шт        7.1900          12.000000          86.2800000000         1
С1083-0306-0002   20           Проволока горячекатаная в мотках, диаметр 6,3-6,5 мм                                                                                                                                                                                                     т         109846.9200     0.077971           8564.8741993200       2
С402-100-01       50           Рабочий 1 разряда                                                                                                                                                                                                                                        чел.-ч    1039.2200       0.820000           852.1604000000        1
С1203-0303-0039   13           Светильник подвесной НСП 03х60-027, со стальным штампованным корпусом и плафоном из прессованного стекла, тип цоколя E27, мощность 60 Вт, IP54                                                                                                           шт        85.8600         1.000000           85.8600000000         1
С1072-0604-0011   31           Уголки верхние, нижние для крепления несущих элементов двери, размеры 100х123 мм                                                                                                                                                                         100 шт    5824.7500       0.145600           848.0836000000        1
С401-100-22       50           Средний разряд работы 2,2                                                                                                                                                                                                                                чел.-ч    1153.5300       7241.877600        8353723.0679280000    1
С401-100-43       50           Средний разряд работы 4,3                                                                                                                                                                                                                                чел.-ч    1778.5300       46.704000          83064.4651200000      1
С291-0506-009     37           Краны на гусеничном ходу, грузоподъемность 50 т                                                                                                                                                                                                          маш.-ч    1229.2300       6676.850558        8207385.0114103400    1
С1084-0303-0030   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 8 мм                                                                                                                                                                         т         72432.0000      11.277650          816862.7448000000     1
С1202-0201-0013   13           Втулки полипропиленовые, диаметр 28 мм                                                                                                                                                                                                                   1000 шт   5151.9500       0.157589           811.8906485500        1
С1013-0101-0002   19           Бензин автомобильный АИ-98, АИ-95                                                                                                                                                                                                                        т         110800.0200     0.000736           81.5488147200         1
С1145-0403-0002   19           Мастика герметизирующая нетвердеющая из синтетического каучука для заполнения и герметизации швов стеклянного ограждения теплиц                                                                                                                          т         154404.8000     0.524265           80949.0324720000      2
С1121-0103-0039   19           Пленка подкровельная гидроизоляционная, антиконденсатная, основа полипропиленовая ткань ламинированная с двух сторон полипропиленом, прочность при продольном/поперечном растяжении 900/800 Н/50 мм, поверхностная плотность 130 г/м2                    м2        54.9400         14.654900          805.1402060000        1
С1103-0203-0011   13           Припои оловянно-свинцовые бессурьмянистые, марка ПОС30                                                                                                                                                                                                   кг        1341.3800       0.060000           80.4828000000         1
С1144-0303-0102   19           Лак битумный БТ-577                                                                                                                                                                                                                                      т         138994.6800     0.000060           8.3396808000          1
С401-100-27       50           Средний разряд работы 2,7                                                                                                                                                                                                                                чел.-ч    1473.6400       5379.900336        7928036.3311430400    2
С1017-1107-0227   19           Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/45, Э42А, диаметр 4-5 мм                                                                                                                                                  кг        174.9600        0.453000           79.2568800000         2
С1084-0205-1000   20           Сетка арматурная сварная легкая из арматурной проволоки класса Вр-1, тип 4                                                                                                                                                                               т         91822.4300      0.083100           7630.4439330000       1
С291-0606-048     37           Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м                                                                                                                                                                                 маш.-ч    678.2100        1121.859529        760856.3511630900     5
С1205-0206-0001   13           Коробки разветвительные для открытой проводки, размеры 80х80х40 мм                                                                                                                                                                                       10 шт     379.2800        2.000000           758.5600000000        1
С1017-0304-0001   19           Электроэнергия                                                                                                                                                                                                                                           кВт-ч     9.0700          8300.038904        75281.3528592800      9
С1112-0406-0031   30           Кол деревянный посадочный, размеры 2200х60 мм                                                                                                                                                                                                            шт        623.4100        120.000000         74809.2000000000      1
С1017-1503-0014   19           Болты стальные с шестигранной головкой, в комплекте с шестигранной гайкой и плоской круглой шайбой, диаметр резьбы М16, длина болта 25-200 мм                                                                                                            т         235228.4200     0.031569           7425.9259909800       1
С1191-0109-0009   19           Изделия фасонные для воздуховодов из оцинкованной стали с шиной и уголками, толщина 0,7 мм, периметр 1800 мм                                                                                                                                             м2        1852.5400       3.922200           7266.0323880000       1
С1122-0510-1006   19           Плиты теплоизоляционные из минеральной ваты на основе базальтовых пород, толщина 50 мм                                                                                                                                                                   м2        273.5500        263.690700         72132.5909850000      1
С1071-0101-0008   31           Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1500х2100 мм                                              шт        36009.5100      2.000000           72019.0200000000      1
СТПрайс-лист      21           Ревизия полипропиленовая, Ф 50 мм                                                                                                                                                                                                                        шт        71.7000         1.000000           71.7000000000         1
С1017-0603-0023   19           Ленты полиэтиленовые с липким слоем, прозрачные, ширина 20 мм, толщина 0,08 мм                                                                                                                                                                           кг        1183.8000       0.060000           71.0280000000         1
С1205-0410-0012   13           Клеммы пластиковые с латунными контактами, сечение проводников 0,5-2,5 мм2                                                                                                                                                                               100 шт    2316.1500       3.061020           7089.7814730000       1
С401-100-30       50           Средний разряд работы 3,0                                                                                                                                                                                                                                чел.-ч    1236.6700       56732.237050       70159055.5926235000   1
С1017-0729-0101   19           Очес льняной                                                                                                                                                                                                                                             кг        779.2900        0.900000           701.3610000000        1
С1141-0602-0202   19           Клей монтажный сухой для внутренних и наружных работ на основе цементного вяжущего, для тяжелой плитки, керамогранита, мозаики, камня                                                                                                                    т         56871.9000      0.122400           6961.1205600000       1
С1145-1103-0001   19           Смеси сухие шпатлевочные на основе высокопрочного гипса с полимерными добавками, крупность заполнителя не более 0,15 мм, прочность на изгиб 2,7 МПа                                                                                                      кг        326.9500        212.194000         69376.8283000000      1
С1072-0603-0112   31           Профиль направляющий из оцинкованной стали, для монтажа гипсовых перегородок и подвесных потолков, размеры 50х40 мм, толщина стали 0,6 мм                                                                                                                м         100.8000        675.590000         68099.4720000000      1
С1113-0315-1024   19           Трубки защитные из ПВХ для стяжного болта опалубки, диаметр 25/22 мм                                                                                                                                                                                     м         14.8500         4581.731532        68038.7132502000      2
С291-0506-008     37           Краны на гусеничном ходу, грузоподъемность 40 т                                                                                                                                                                                                          маш.-ч    4537.1600       1480.559568        6717535.6495468800    2
С1145-0501-0012   19           Олифа комбинированная для разведения масляных густотертых красок и для внешних работ по деревянным поверхностям                                                                                                                                          т         83920.6400      0.000800           67.1365120000         1
С1083-0505-0051   20           Сталь листовая оцинкованная, толщина 0,5 мм                                                                                                                                                                                                              т         149800.0100     4.467090           669170.1266709000     1
С1017-1507-0009   19           Дюбели пластмассовые с шурупами, диаметр 8 мм, длина 60 мм, диаметр шурупа 5 мм, длина шурупа 60 мм                                                                                                                                                      100 шт    818.6600        8.080000           6614.7728000000       1
С1017-0301-0001   19           Вода                                                                                                                                                                                                                                                     м3        452.4500        14473.361565       6548472.4400842500    6
ТПрайс-лист       30           Витраж из алюминиевого профиля с двойным стеклопакетом, глухой                                                                                                                                                                                           м2        48.3000         130.440000         6300.2520000000       1
С1017-1514-0185   19           Шурупы самонарезающие стальные оксидированные с потайной головкой и крестообразным шлицем, остроконечные, диаметр 8 мм, длина 100 мм                                                                                                                     т         169984.0000     0.037044           6296.8872960000       1
С1113-0314-1000   19           Заглушки торцевые двусторонние к подоконной доске из ПВХ, цвет белый, размеры 40х480 мм                                                                                                                                                                  10 шт     629.4200        1.000000           629.4200000000        1
С1163-0202-0007   19           Удобрение органоминеральное торфоминерально-аммиачное                                                                                                                                                                                                    м3        32609.4600      1.920000           62610.1632000000      1
С401-100-22       50           Средний разряд работы 2,2                                                                                                                                                                                                                                чел.-ч    1410.1200       44164.041209       62276597.7896350800   4
С1072-0603-0199   31           Профиль стальной оцинкованный стоечный, размеры 75х50 мм, толщина 0,6 мм                                                                                                                                                                                 м         161.2600        38.556000          6217.5405600000       1
С291-1402-001     37           Автомобили бортовые, грузоподъемность до 5 т                                                                                                                                                                                                             маш.-ч    1018.1500       6095.109606        6205735.8453489000    7
С1017-0712-0022   19           Пленка полиэтиленовая, толщина 0,2-0,5 мм                                                                                                                                                                                                                м2        27.0600         22842.777600       618125.5618560000     1
С1017-0704-0005   19           Дисперсия поливинилацетатная гомополимерная грубодисперсная непластифицированная Д50Н                                                                                                                                                                    кг        428.7400        144010.264800      61742960.9303520000   1
С1144-0204-0143   19           Краска масляная МА-0115, охра                                                                                                                                                                                                                            кг        140.0900        44072.106900       6174061.4556210000    1
С1084-0303-0032   20           Сталь арматурная горячекатаная периодического профиля, класс A-III, диаметр 12 мм                                                                                                                                                                        т         89947.0000      6.858600           616910.4942000000     2
С1017-0604-0002   19           Ленты бумажные перфорированные армирующие для повышения трещиностойкости стыков, ширина 52 мм                                                                                                                                                            м         3.1600          1948.260900        6156.5044440000       1
С1193-0109-0041   19           Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, диаметр 315 мм                                                                                                                                                          шт        6126.8600       1.000000           6126.8600000000       1
С1017-0602-0001   19           Ленты гидроизоляционные, паропроницаемые бутилкаучуковые, из нетканого материала мембранного типа, с липким покрытием по краям с внутренней стороны и антиадгезионным покрытием, цвет бежевый, ширина 80 мм                                              м         42.7600         14228.360000       608404.6736000000     1
С291-1801-007     37           Компрессоры винтовые передвижные с двигателем внутреннего сгорания, давление до 0,7 МПа (7 атм), производительность до 5,4 м3/мин                                                                                                                        маш.-ч    796.3200        75.857782          60407.0689622400      1
С1194-0203-0028   30           Глушитель шума вентиляционных установок, трубчатый из листовой оцинкованной стали, круглого сечения на ниппельном соединении, длина корпуса 900 мм, внутренний диаметр 315 мм                                                                            шт        5982.5500       1.000000           5982.5500000000       1
С1083-0402-0095   20           Прокат стальной горячекатаный круглый, марки стали Ст3сп, Ст3пс, диаметр 14-50 мм                                                                                                                                                                        т         90755.0000      0.656100           59544.3555000000      1
С1192-0301-0189   19           Решетка жалюзийная металлическая, площадь проема от 0,21 до 0,3 м2                                                                                                                                                                                       шт        2972.7100       2.000000           5945.4200000000       1
С401-100-30       50           Средний разряд работы 3,0                                                                                                                                                                                                                                чел.-ч    1511.7500       39082.776742       59083387.7397185000   3
С1111-0301-0094   19           Бруски обрезные сухие пропитанные, длина 1-3 м, ширина 40-75 мм, толщина 22-32 мм, сорт I                                                                                                                                                                м3        50656.7300      11.619600          588610.9399080000     1
